Name,Height,Capacity (MW),Year of completion,Reservoir formed,River
Mica Dam,240 m (790 ft),"2,805",1973,Kinbasket Lake,Columbia
Revelstoke Dam,175 m (574 ft),"2,480",1984,Revelstoke Lake,Columbia
Keenleyside Dam,52 m (171 ft),185,1968,Raised Arrow Lakes,Columbia
Grand Coulee Dam,550 ft (170 m),"6,809",1941 / 1974,Franklin D. Roosevelt Lake,Columbia
Chief Joseph Dam,236 ft (72 m),"2,620",1955,Rufus Woods Lake,Columbia
Wells Dam,160 ft (49 m),840,1967,Lake Pateros,Columbia
Rocky Reach Dam,130 ft (40 m),"1,287",1961,Lake Entiat,Columbia
Rock Island Dam,135 ft (41 m),660,1933,Rock Island Pool,Columbia
Wanapum Dam,185 ft (56 m),"1,092",1963,Lake Wanapum,Columbia
Priest Rapids Dam,178 ft (54 m),955.6,1961,Priest Rapids Lake,Columbia
McNary Dam,183 ft (56 m),"1,133",1954,Lake Wallula,Columbia
John Day Dam,184 ft (56 m),"2,485",1971,Lake Umatilla,Columbia
The Dalles Dam,260 ft (79 m),"2,038",1957,Lake Celilo,Columbia
Bonneville Dam,197 ft (60 m),"1,190",1937 / 1981,Lake Bonneville,Columbia
Jackson Lake Dam,65.5 ft (20.0 m),0,1911 / 1916 / 1989,Jackson Lake,Snake
Palisades Dam,270 ft (82 m),176.6,1957,Palisades Reservoir,Snake
Gem State Dam,40 ft (12 m),22.6,1982,,Snake
American Falls Dam,104 ft (32 m),112.4,1927 / 1978,American Falls Reservoir,Snake
Minidoka Dam,86 ft (26 m),28.5,1909-1942,Lake Walcott,Snake
Milner Dam,38 ft (12 m),59.5,1905,Milner Lake,Snake
Twin Falls Dam,25 ft (7.6 m),52.9,1935 / 1995,Twin Falls Reservoir,Snake
Shoshone Falls Dam,16 ft (4.9 m),64,1907,Shoshone Falls Reservoir,Snake
Upper Salmon Falls Dam,18 ft (5.5 m),34.5,1937 / 1947,Upper Salmon Falls Reservoir,Snake
Lower Salmon Falls Dam,38 ft (12 m),60,1910 / 1949,Lower Salmon Falls Reservoir,Snake
Bliss Dam,84 ft (26 m),75,1950,Bliss Reservoir,Snake
C. J. Strike Dam,115 ft (35 m),82.8,1952,C. J. Strike Reservoir,Snake
Swan Falls Dam,107 ft (33 m),25,1901,Swan Falls Reservoir,Snake
Brownlee Dam,420 ft (130 m),585,1959 / 1980,Brownlee Reservoir,Snake
Oxbow Dam,175 ft (53 m),220,1961,Oxbow Reservoir,Snake
Hells Canyon Dam,330 ft (100 m),450,1967,Hells Canyon Reservoir,Snake
Lower Granite Dam,181 ft (55 m),932,1975 / 1987,Lower Granite Lake,Snake
Little Goose Dam,253 ft (77 m),932,1970,Lake Bryan,Snake
Lower Monumental Dam,152 ft (46 m),930,1969,Lake Herbert G. West,Snake
Ice Harbor Dam,213 ft (65 m),693,1961 / 1976,Lake Sacajawea,Snake
Goose Lake Dam (Goose Creek),26 ft (7.9 m),0,1924,Goose Lake,Salmon
Brundage Dam (Brundage Creek(Goose Creek)),64 ft (20 m),0,1989,Brundage Reservoir,Salmon
Wild Horse Dam,114 ft (35 m),0,1937 / 1969,Wild Horse Reservoir,Owyhee
Antelope Reservoir Dam (Antelope Creek (Jordan Creek)),60 ft (18 m),0,1923,Antelope Reservoir,Owyhee
Owyhee Dam,417 ft (127 m),"5,8,2",1932,Lake Owyhee,Owyhee
Wilson Reservoir Dam (Wilson Creek),34 ft (10 m),0,,Wilson Reservoir,Owyhee
Bull Run Dam (Bull Run Creek),69 ft (21 m),0,,Bull Run Reservoir,Owyhee
Dry Creek Dam (Indian Creek),70 ft (21 m),0,,Dry Creek Reservoir,Owyhee
Rawhide Reservoir Dam (Indian Creek),33 ft (10 m),0,,Rawhide Reservoir,Owyhee
Sheep Creek Dam (Sheep Creek),29 ft (8.8 m),0,1966,Sheep Creek Reservoir,Owyhee
Chimney Creek Dam (Fourmile Creek),20 ft (6.1 m),0,,Desert Ranch Reservoir,Owyhee
Warm Springs Dam,106 ft (32 m),proposed 2.7,1919,Warm Springs Reservoir,Malheur
Agency Valley Dam (North Fork Malheur River),110 ft (34 m),proposed 2.0,1935,Beulah Reservoir,Malheur
Harper Diversion Dam,12 ft (3.7 m),0,1930,Harper Diversion Pool,Malheur
Bully Creek Dam (Bully Creek),121 ft (37 m),0,1963,Bully Creek Reservoir,Malheur
Bully Creek Diversion Dam (Bully Creek),4 ft (1.2 m),0,1964,Bully Creek Diversion Pool,Malheur
